code,voltage_V
0,0.176520671771
1,0.177462451192
2,0.179162491264
3,0.17739636786
4,0.178066221336
5,0.176021987481
6,0.177959135342
7,0.176814901722
8,0.178312981096
9,0.17978565747
10,0.175732876184
11,0.17915788569
12,0.177664451372
13,0.178390394153
14,0.179117455401
15,0.17838215672
16,0.178177458985
17,0.180615653217
18,0.179838799163
19,0.178573116761
20,0.179445503439
21,0.17785317439
22,0.179474485579
23,0.179158122553
24,0.179527686477
25,0.180695066332
26,0.178493348313
27,0.180519423132
28,0.181898382766
29,0.180891164892
30,0.178914086609
31,0.18120066556
32,0.181085256603
33,0.181128627872
34,0.182257163114
35,0.181195138843
36,0.181551721681
37,0.179467248267
38,0.181702896235
39,0.182346103188
40,0.183978415133
41,0.18152873337
42,0.181258768065
43,0.183770690853
44,0.18476240781
45,0.182784921724
46,0.18057705854
47,0.180803843254
48,0.183175460678
49,0.182137115664
50,0.18339202768
51,0.184294686024
52,0.18365149876
53,0.183690626327
54,0.182164926706
55,0.182769966801
56,0.185398666999
57,0.184361828667
58,0.183563677165
59,0.184435715105
60,0.182849208862
61,0.184683599904
62,0.184446314546
63,0.183569006432
64,0.18657827791
65,0.184657802213
66,0.185967033487
67,0.186785548238
68,0.187970218755
69,0.186036538151
70,0.187246841926
71,0.184879685292
72,0.187041867806
73,0.187255506971
74,0.185062671072
75,0.186310700992
76,0.188274745408
77,0.18815479015
78,0.187565316907
79,0.186033386664
80,0.18847834446
81,0.188129176607
82,0.187790094983
83,0.187230742143
84,0.188465600162
85,0.186605582412
86,0.189269258626
87,0.187893325434
88,0.1889578564
89,0.187265961573
90,0.190576746409
91,0.187380298128
92,0.187671777892
93,0.189099681555
94,0.190339362234
95,0.187691029218
96,0.189170304665
97,0.189891247094
98,0.189723124138
99,0.190400570325
100,0.192627171537
101,0.190214255333
102,0.189882687346
103,0.191355179488
104,0.191273009597
105,0.19181332167
106,0.191535309824
107,0.191942560494
108,0.191883372319
109,0.191135842577
110,0.192048725412
111,0.19161139377
112,0.191455798017
113,0.192718243328
114,0.19303523144
115,0.192018703608
116,0.192980747518
117,0.191358127106
118,0.192536507661
119,0.192410644078
120,0.192538461767
121,0.194141153346
122,0.192751410025
123,0.193416361871
124,0.19453733739
125,0.193056061769
126,0.194119520292
127,0.191717163998
128,0.194689432979
129,0.196512040432
130,0.195950792763
131,0.196561918742
132,0.197251891985
133,0.197920784878
134,0.196225376749
135,0.196571294342
136,0.197561780904
137,0.197044792753
138,0.199011159674
139,0.196553306256
140,0.197837812347
141,0.198789730542
142,0.19867486109
143,0.198483085241
144,0.200917391083
145,0.19646962313
146,0.198335661034
147,0.200659130516
148,0.199827568969
149,0.200383875528
150,0.200664236186
151,0.199675519445
152,0.199946899229
153,0.201876974331
154,0.199762176457
155,0.200430214114
156,0.20001664729
157,0.200761637316
158,0.198942510458
159,0.200542418953
160,0.201364210146
161,0.202351505677
162,0.202934748199
163,0.203768336246
164,0.203904286004
165,0.201330688163
166,0.202688554309
167,0.201740728429
168,0.203996930322
169,0.203565526823
170,0.202896140412
171,0.202635695555
172,0.203199436793
173,0.204544354706
174,0.204540374239
175,0.204461770325
176,0.204689476179
177,0.205922636671
178,0.205576225644
