code,voltage_V
0,0.0374485434318
1,0.0396464717361
2,0.0418705399246
3,0.0428631911681
4,0.043138709382
5,0.0439500458973
6,0.0450511516822
7,0.0441197940708
8,0.0458104321564
9,0.0463623568088
10,0.0492597853881
11,0.0485083804418
12,0.0490931362118
13,0.0515554109564
14,0.0502291850452
15,0.0510738922318
16,0.0525603458479
17,0.0540858349054
18,0.0544581556177
19,0.054691730324
20,0.0558381021754
21,0.0561379970239
22,0.0555228839575
23,0.0580912117237
24,0.0590751255538
25,0.0588768032651
26,0.05995357184
27,0.061956210896
28,0.0626932662232
29,0.0625133333115
30,0.0641082743314
31,0.0652373424774
32,0.0648585147487
33,0.0664731478635
34,0.0674359023406
35,0.068782787555
36,0.0700989404098
37,0.0706560101313
38,0.070354687585
39,0.0722674654236
40,0.0714922102052
41,0.0722026454565
42,0.0745118112514
43,0.0736029484925
44,0.0762923698108
45,0.076018779414
46,0.0783608554465
47,0.076850143609
48,0.0781464136026
49,0.0795096485269
50,0.0792434072056
51,0.0804641195712
52,0.0823395659936
53,0.0841207627789
54,0.0829125117436
55,0.0850629303629
56,0.0845516794873
57,0.0859968408381
58,0.0879217905062
59,0.0862799977342
60,0.0883123163445
61,0.0888678267414
62,0.0897062046209
63,0.0907491748435
64,0.0936248651116
65,0.0943614730864
66,0.0942512749778
67,0.0948954096641
68,0.0968628161469
69,0.096560710628
70,0.0981654812949
71,0.0992863975246
72,0.098277567586
73,0.10057056146
74,0.100778542282
75,0.0997452765412
76,0.104594682883
77,0.102215426816
78,0.104105795316
79,0.104030586395
80,0.104717191021
81,0.106282807774
82,0.107228745321
83,0.108659425536
84,0.108079077942
85,0.110283927699
86,0.111511107575
87,0.112651531705
88,0.112220766353
89,0.112596087268
90,0.113783514512
91,0.11403567593
92,0.116308286839
93,0.116670376537
94,0.118397306554
95,0.117294430988
96,0.120232684666
97,0.118217413128
98,0.118884832271
99,0.121703347679
100,0.12305889791
101,0.123606855239
102,0.123917086319
103,0.124517139123
104,0.126866465633
105,0.127854906017
106,0.126025929749
107,0.128383743623
108,0.128295007494
109,0.129177467183
110,0.129599896447
111,0.130631852854
112,0.132411786435
113,0.13257553407
114,0.135416636581
115,0.134236696676
116,0.135529222955
117,0.135859369753
118,0.135499878956
119,0.137658205914
120,0.1374081367
121,0.139499919895
122,0.140326823198
123,0.139850100904
124,0.141647193479
125,0.142811336322
126,0.143211922017
127,0.143374005133
128,0.145268597529
129,0.147152459016
130,0.146061399973
131,0.14651060073
132,0.148084658861
133,0.148713312301
134,0.150556914557
135,0.150659618706
136,0.150642657083
137,0.15063252478
138,0.152949270193
139,0.152869968837
140,0.153583160772
141,0.156089839777
142,0.156209091094
143,0.157157857838
144,0.157443613588
145,0.158527665531
146,0.159683380203
147,0.161702066341
148,0.161077432909
149,0.1628974349
150,0.16422026582
151,0.163307501498
152,0.164367025579
153,0.165482474358
154,0.165686277282
155,0.167918082879
156,0.167384639661
157,0.168579902959
158,0.168772981571
159,0.17066591599
160,0.171165843761
161,0.171786871697
162,0.173492747721
163,0.173743764352
164,0.174394083663
165,0.176023105928
166,0.17783408761
167,0.178526495209
168,0.177971313787
169,0.178774676122
170,0.180315850495
171,0.180416640028
172,0.180168623629
173,0.182718312019
174,0.183675710898
175,0.18441229251
176,0.185026168672
177,0.185237189225
178,0.186001562107
179,0.184915786365
180,0.187537736169
181,0.190087049555
182,0.189037756461
183,0.190405537694
184,0.193003466211
185,0.192084385651
186,0.193906762781
187,0.192841935736
188,0.195594821838
189,0.19560953336
190,0.196280735607
